,id,clone_url,created_at,description,full_name,language,name,size,stargazers_count,updated_at,forks_count
0,9062266,https://github.com/EttusResearch/uhd.git,2013-03-27 19:52:19+00:00,The USRP™ Hardware Driver Repository,EttusResearch/uhd,Verilog,uhd,145354,990,2024-10-29 07:26:56+00:00,664
1,3791379,https://github.com/seldridge/verilog.git,2012-03-21 21:06:25+00:00,Repository for basic (and not so basic) Verilog blocks with high re-use potential,seldridge/verilog,Verilog,verilog,74,549,2024-10-28 06:16:35+00:00,138
2,5492471,https://github.com/openrisc/mor1kx.git,2012-08-21 08:45:53+00:00,mor1kx - an OpenRISC 1000 processor IP core,openrisc/mor1kx,Verilog,mor1kx,2884,492,2024-10-26 23:53:01+00:00,147
3,3986116,https://github.com/NetFPGA/netfpga.git,2012-04-10 19:20:39+00:00,NetFPGA 1G infrastructure and gateware,NetFPGA/netfpga,Verilog,netfpga,10637,365,2024-10-25 17:42:20+00:00,141
4,1692174,https://github.com/Arlet/verilog-6502.git,2011-05-02 17:01:23+00:00,A Verilog HDL model of the MOS 6502 CPU,Arlet/verilog-6502,Verilog,verilog-6502,21,325,2024-10-27 12:38:53+00:00,93
5,583558,https://github.com/marmolejo/zet.git,2010-03-28 17:04:33+00:00,Open source implementation of a x86 processor,marmolejo/zet,Verilog,zet,1709,307,2024-10-18 20:30:36+00:00,65
6,4688501,https://github.com/brianbennett/fpga_nes.git,2012-06-16 23:54:16+00:00,FPGA-based Nintendo Entertainment System Emulator,brianbennett/fpga_nes,Verilog,fpga_nes,2050,259,2024-10-25 07:04:56+00:00,64
7,5516872,https://github.com/benreynwar/fft-dit-fpga.git,2012-08-22 23:53:30+00:00,Verilog module for calculation of FFT.,benreynwar/fft-dit-fpga,Verilog,fft-dit-fpga,113,158,2024-10-21 04:31:10+00:00,53
8,7509857,https://github.com/ejrh/cpu.git,2013-01-08 21:48:06+00:00,A very primitive but hopefully self-educational CPU in Verilog,ejrh/cpu,Verilog,cpu,470,138,2024-10-28 23:46:06+00:00,35
9,7202697,https://github.com/m-labs/lm32.git,2012-12-17 10:01:12+00:00,LatticeMico32 soft processor,m-labs/lm32,Verilog,lm32,377,102,2024-09-06 08:14:42+00:00,26
10,7363681,https://github.com/wuzeyou/Multiplier16X16.git,2012-12-29 06:24:55+00:00,"Classic Booth Code, Wallace Tree, and SquareRoot Carry Select Adder",wuzeyou/Multiplier16X16,Verilog,Multiplier16X16,1297,100,2024-10-29 03:45:14+00:00,27
11,779589,https://github.com/trun/fpgaboy.git,2010-07-16 20:58:12+00:00,Implementation Nintendo's GameBoy console on an FPGA,trun/fpgaboy,Verilog,fpgaboy,2415,95,2024-10-12 10:11:58+00:00,11
12,1911999,https://github.com/teknohog/Xilinx-Serial-Miner.git,2011-06-17 16:18:36+00:00,Bitcoin miner for Xilinx FPGAs,teknohog/Xilinx-Serial-Miner,Verilog,Xilinx-Serial-Miner,128,93,2024-08-12 19:10:30+00:00,32
13,8896328,https://github.com/jbush001/PASC.git,2013-03-20 04:46:43+00:00,Parallel Array of Simple Cores. Multicore processor.,jbush001/PASC,Verilog,PASC,92,92,2024-09-10 22:10:17+00:00,35
14,1438963,https://github.com/andrejbauer/Homotopy.git,2011-03-04 10:40:03+00:00,Homotopy theory in Coq.,andrejbauer/Homotopy,Verilog,Homotopy,331,90,2024-04-22 20:22:09+00:00,8
15,2856556,https://github.com/ngzhang/Icarus.git,2011-11-26 17:10:51+00:00,DUAL Spartan6 Development Platform,ngzhang/Icarus,Verilog,Icarus,41174,86,2024-09-04 15:05:06+00:00,45
16,2096297,https://github.com/alfikpl/ao68000.git,2011-07-24 11:35:04+00:00,The OpenCores ao68000 IP Core is a Motorola MC68000 binary compatible processor.,alfikpl/ao68000,Verilog,ao68000,1596,76,2024-08-22 19:24:39+00:00,14
17,3568074,https://github.com/adibis/DDR2_Controller.git,2012-02-28 04:42:34+00:00,DDR2 memory controller written in Verilog,adibis/DDR2_Controller,Verilog,DDR2_Controller,119,72,2024-09-05 12:50:05+00:00,32
18,4519428,https://github.com/maidenone/ORGFXSoC.git,2012-06-01 12:38:42+00:00,"An Example implementation of Open Source Graphics Accelerator, (A fixed point, fixed function pipeline GPU)",maidenone/ORGFXSoC,Verilog,ORGFXSoC,3233,71,2024-10-09 21:38:49+00:00,19
19,753580,https://github.com/opencpi/opencpi.git,2010-07-02 14:44:06+00:00,Open Component Portability Infrastructure,opencpi/opencpi,Verilog,opencpi,412246,58,2024-10-28 17:26:52+00:00,21
20,1248183,https://github.com/BenBergman/AlteraDE2Labs_Verilog.git,2011-01-12 22:29:26+00:00,My solutions to Alteras example labs,BenBergman/AlteraDE2Labs_Verilog,Verilog,AlteraDE2Labs_Verilog,14819,57,2024-09-20 08:39:53+00:00,40
21,4539111,https://github.com/pmonta/GNSS_Firehose.git,2012-06-03 17:31:41+00:00,"Wideband front-end digitizer for GPS, GLONASS, Galileo, BeiDou",pmonta/GNSS_Firehose,Verilog,GNSS_Firehose,48613,57,2024-09-12 04:13:22+00:00,35
22,4142780,https://github.com/MorrisMA/MAM65C02-Processor-Core.git,2012-04-26 00:28:53+00:00,Microprogrammed 65C02-compatible FPGA Processor Core (Verilog-2001),MorrisMA/MAM65C02-Processor-Core,Verilog,MAM65C02-Processor-Core,9362,52,2024-06-17 05:03:43+00:00,6
23,2084115,https://github.com/ryuz/jelly.git,2011-07-21 15:20:53+00:00,Original FPGA platform,ryuz/jelly,Verilog,jelly,18668,51,2024-10-26 14:27:12+00:00,14
24,2767069,https://github.com/bogini/Pong.git,2011-11-13 16:19:13+00:00,Pong game on an FPGA in Verilog.,bogini/Pong,Verilog,Pong,117,50,2024-10-19 13:46:29+00:00,11
25,7956357,https://github.com/embecosm/chiphack.git,2013-02-01 10:37:40+00:00,Repository and Wiki for Chip Hack events.,embecosm/chiphack,Verilog,chiphack,24013,50,2024-05-22 03:16:13+00:00,17
26,5696637,https://github.com/MorrisMA/Booth_Multipliers.git,2012-09-06 02:47:14+00:00,Parameterized Booth Multiplier in Verilog 2001,MorrisMA/Booth_Multipliers,Verilog,Booth_Multipliers,2321,48,2024-10-29 07:01:59+00:00,20
27,2905487,https://github.com/rkrajnc/minimig-de1.git,2011-12-03 15:30:17+00:00,Minimig for the DE1 board,rkrajnc/minimig-de1,Verilog,minimig-de1,31970,48,2024-06-15 19:29:53+00:00,19
28,6377754,https://github.com/Caskman/MIPS-Processor-in-Verilog.git,2012-10-24 21:21:16+00:00,Processor repo,Caskman/MIPS-Processor-in-Verilog,Verilog,MIPS-Processor-in-Verilog,384,47,2024-08-04 16:18:06+00:00,19
29,4058861,https://github.com/dirjud/Nitro-Parts-lib-SPI.git,2012-04-18 00:57:54+00:00,Verilog SPI master and slave,dirjud/Nitro-Parts-lib-SPI,Verilog,Nitro-Parts-lib-SPI,8,46,2024-10-17 07:57:52+00:00,23
30,3349819,https://github.com/hutch31/tv80.git,2012-02-04 00:48:58+00:00,TV80 Z80-compatible microprocessor,hutch31/tv80,Verilog,tv80,152,46,2024-10-23 14:52:48+00:00,7
31,5928726,https://github.com/atgreen/moxie-cores.git,2012-09-24 02:40:07+00:00,Moxie-compatible core repository,atgreen/moxie-cores,Verilog,moxie-cores,1758,45,2023-08-07 13:31:33+00:00,9
32,3739807,https://github.com/shuckc/verilog-utils.git,2012-03-16 14:48:36+00:00,"native Verilog pcap, littletoe, bcd, xml and hash modules, with Icarus testbenches",shuckc/verilog-utils,Verilog,verilog-utils,262,41,2024-08-29 07:31:33+00:00,20
33,3504866,https://github.com/mjlyons/vSPI.git,2012-02-21 15:05:37+00:00,Verilog implementation of an SPI slave interface. Intially targetted for Atlys devkit (Xilinx Spartan-6) controlled by TotalPhase Cheetah USB/SPI adapter,mjlyons/vSPI,Verilog,vSPI,3832,41,2024-09-28 11:38:34+00:00,13
34,3939500,https://github.com/sybreon/dcpu16.git,2012-04-05 12:39:07+00:00,Pipelined DCPU-16 Verilog Implementation,sybreon/dcpu16,Verilog,dcpu16,363,41,2024-10-06 14:39:29+00:00,9
35,2096352,https://github.com/alfikpl/aoOCS.git,2011-07-24 11:57:19+00:00,The OpenCores aoOCS SoC is a Wishbone compatible implementation of most of the Amiga Original Chip Set (OCS) and computer functionality. aoOCS is not related in any way with Minimig - it is a new and independent Amiga OCS implementation. ,alfikpl/aoOCS,Verilog,aoOCS,2467,39,2024-08-22 19:24:39+00:00,8
36,2193651,https://github.com/dwelch67/lsasim.git,2011-08-11 20:45:11+00:00,Educational load/store instruction set architecture processor simulator,dwelch67/lsasim,Verilog,lsasim,793,38,2024-04-03 12:11:02+00:00,8
37,5771220,https://github.com/rnz/verilog-sha256.git,2012-09-11 21:26:17+00:00,Implementation of the SHA256 Algorithm in Verilog,rnz/verilog-sha256,Verilog,verilog-sha256,94,37,2023-10-30 06:07:24+00:00,18
38,4964463,https://github.com/GadgetFactory/RetroCade_Synth.git,2012-07-09 20:36:46+00:00,"RetroCade Synth - C64 SID, YM2149, and POKEY audio chips with MIDI interface. ",GadgetFactory/RetroCade_Synth,Verilog,RetroCade_Synth,134479,37,2023-08-26 13:45:16+00:00,18
39,1015478,https://github.com/wisp/rfid-verilog.git,2010-10-22 15:46:07+00:00,RFID tag and tester in Verilog,wisp/rfid-verilog,Verilog,rfid-verilog,165,36,2024-10-15 08:40:30+00:00,22
40,720195,https://github.com/rseal/GnuRadar.git,2010-06-14 14:36:10+00:00,Open-source software defined radar based on the USRP 1 hardware.,rseal/GnuRadar,Verilog,GnuRadar,43921,34,2024-04-30 16:10:37+00:00,20
41,8322207,https://github.com/harvard-cns/opensketch.git,2013-02-20 21:07:57+00:00,simulation and netfpga code,harvard-cns/opensketch,Verilog,opensketch,226,32,2023-10-19 13:21:02+00:00,26
42,2677517,https://github.com/fallen/tinycpu.git,2011-10-30 23:00:56+00:00,Tiny CPU is a small 32-bit CPU done mostly as a hobby for educational purposes.,fallen/tinycpu,Verilog,tinycpu,735,31,2024-08-07 14:26:03+00:00,9
43,3425298,https://github.com/dirjud/Nitro-Parts-lib-Xilinx.git,2012-02-12 22:36:07+00:00,This is mainly a simulation library of xilinx primitives that are verilator compatible.,dirjud/Nitro-Parts-lib-Xilinx,Verilog,Nitro-Parts-lib-Xilinx,33,31,2024-07-20 08:56:07+00:00,14
44,4132273,https://github.com/aquaxis/gemac.git,2012-04-25 03:01:03+00:00,Gigabit MAC + UDP/TCP/IP offload Engine,aquaxis/gemac,Verilog,gemac,146,31,2024-09-30 14:58:15+00:00,18
45,1020968,https://github.com/lzw545/opengg.git,2010-10-25 00:45:38+00:00,OpenGL-like graphics pipeline on a Xilinx FPGA,lzw545/opengg,Verilog,opengg,5628,30,2024-10-24 02:30:18+00:00,5
46,8943518,https://github.com/phthinh/OFDM_802_11.git,2013-03-22 02:40:14+00:00,IEEE 802.11 OFDM-based transceiver system,phthinh/OFDM_802_11,Verilog,OFDM_802_11,538,30,2024-10-14 03:40:53+00:00,25
47,5989151,https://github.com/vlsi1217/ASIC.git,2012-09-27 21:42:47+00:00,EE 287 2012 Fall,vlsi1217/ASIC,Verilog,ASIC,2838,27,2024-06-20 16:04:02+00:00,16
48,6186412,https://github.com/sora/ovs-hw.git,2012-10-12 06:55:15+00:00,An open source hardware engine for Open vSwitch on FPGA,sora/ovs-hw,Verilog,ovs-hw,824,25,2024-05-10 07:48:06+00:00,13
49,7754610,https://github.com/fairwaves/UHD-Fairwaves.git,2013-01-22 15:09:14+00:00,"Fairwaves version of the UHD drivers, tweaked to support Fairwaves UmTRX. ",fairwaves/UHD-Fairwaves,Verilog,UHD-Fairwaves,38463,25,2024-09-06 20:21:02+00:00,21
50,5663256,https://github.com/mzakharo/usb-de2-fpga.git,2012-09-03 19:46:32+00:00,Hardware interface for USB controller on DE2 FPGA Platform,mzakharo/usb-de2-fpga,Verilog,usb-de2-fpga,5830,25,2023-11-29 05:24:04+00:00,10
51,5396713,https://github.com/fbrosser/DSP48E1-FP.git,2012-08-13 08:48:47+00:00,Project aimed at implementing floating point operators using the DSP48E1 slice.,fbrosser/DSP48E1-FP,Verilog,DSP48E1-FP,324,25,2024-10-28 09:23:11+00:00,3
52,4522349,https://github.com/mstump/verilog-vga-controller.git,2012-06-01 17:38:45+00:00,A very simple VGA controller written in verilog,mstump/verilog-vga-controller,Verilog,verilog-vga-controller,94,24,2024-05-09 10:00:17+00:00,4
53,1122957,https://github.com/ShepardSiegel/ocpi.git,2010-11-29 18:27:10+00:00,Semi-private RTL development upstream of OpenCPI - this is *not* the OpenCPI repo!,ShepardSiegel/ocpi,Verilog,ocpi,244369,24,2024-04-09 06:51:52+00:00,8
54,2911593,https://github.com/adibis/Interrupt_Controller.git,2011-12-04 18:18:43+00:00,An 8 input interrupt controller written in Verilog.,adibis/Interrupt_Controller,Verilog,Interrupt_Controller,115,24,2024-07-09 08:54:15+00:00,9
55,2159301,https://github.com/trondd/oc-i2c.git,2011-08-05 08:19:43+00:00,I2C controller core from Opencores.org,trondd/oc-i2c,Verilog,oc-i2c,1468,24,2024-10-11 11:46:07+00:00,7
